timestamp,Actiwatch activity counts,Actiware classification,Apple Watch ENMO
06/01/2000 22:41:00,0,0,0.001160038
06/01/2000 22:41:15,0,0,0.001088582
06/01/2000 22:41:30,0,0,0.001113942
06/01/2000 22:41:45,0,0,0.001087484
06/01/2000 22:42:00,0,0,0.001091373
06/01/2000 22:42:15,0,0,0.001079539
06/01/2000 22:42:30,0,0,0.001101511
06/01/2000 22:42:45,0,0,0.001085216
06/01/2000 22:43:00,0,0,0.001100578
06/01/2000 22:43:15,0,0,0.001179257
06/01/2000 22:43:30,0,0,0.001107782
06/01/2000 22:43:45,0,0,0.001129351
06/01/2000 22:44:00,0,0,0.001098288
06/01/2000 22:44:15,0,0,0.001086422
06/01/2000 22:44:30,0,0,0.00105864
06/01/2000 22:44:45,0,0,0.001052718
06/01/2000 22:45:00,0,0,0.001049114
06/01/2000 22:45:15,0,0,0.001066399
06/01/2000 22:45:30,0,0,0.00108139
06/01/2000 22:45:45,0,0,0.001075274
06/01/2000 22:46:00,0,0,0.001111435
06/01/2000 22:46:15,0,0,0.00105094
06/01/2000 22:46:30,0,0,0.001078588
06/01/2000 22:46:45,0,0,0.001042201
06/01/2000 22:47:00,0,0,0.001123494
06/01/2000 22:47:15,0,0,0.001052928
06/01/2000 22:47:30,0,0,0.001066662
06/01/2000 22:47:45,0,0,0.001026185
06/01/2000 22:48:00,0,0,0.001102265
06/01/2000 22:48:15,0,0,0.0010339
06/01/2000 22:48:30,0,0,0.001027378
06/01/2000 22:48:45,0,0,0.001010824
06/01/2000 22:49:00,0,0,0.001028193
06/01/2000 22:49:15,0,0,0.001011342
06/01/2000 22:49:30,0,0,0.001322325
06/01/2000 22:49:45,0,0,0.001030925
06/01/2000 22:50:00,0,0,0.001049792
06/01/2000 22:50:15,0,0,0.001115555
06/01/2000 22:50:30,0,0,0.001361429
06/01/2000 22:50:45,0,0,0.001365749
06/01/2000 22:51:00,0,0,0.001271571
06/01/2000 22:51:15,0,0,0.001148296
06/01/2000 22:51:30,0,0,0.001003261
06/01/2000 22:51:45,0,0,0.001009668
06/01/2000 22:52:00,0,0,0.000987605
06/01/2000 22:52:15,0,0,0.001105865
06/01/2000 22:52:30,0,0,0.001032282
06/01/2000 22:52:45,0,0,0.001036439
06/01/2000 22:53:00,0,0,0.001011889
06/01/2000 22:53:15,0,0,0.00109037
06/01/2000 22:53:30,0,0,0.000986692
06/01/2000 22:53:45,0,0,0.000998986
06/01/2000 22:54:00,0,0,0.000998594
06/01/2000 22:54:15,0,0,0.001014463
06/01/2000 22:54:30,0,0,0.001016144
06/01/2000 22:54:45,0,0,0.000966545
06/01/2000 22:55:00,0,0,0.001015022
06/01/2000 22:55:15,0,0,0.00098244
06/01/2000 22:55:30,0,0,0.000984468
06/01/2000 22:55:45,0,0,0.000959524
06/01/2000 22:56:00,0,0,0.001012655
06/01/2000 22:56:15,0,0,0.002852352
06/01/2000 22:56:30,2,0,0.006023381
06/01/2000 22:56:45,0,0,0.002219075
06/01/2000 22:57:00,0,0,0.002354931
06/01/2000 22:57:15,0,0,0.002450576
06/01/2000 22:57:30,0,0,0.002451546
06/01/2000 22:57:45,0,0,0.002331686
06/01/2000 22:58:00,0,0,0.002326802
06/01/2000 22:58:15,0,0,0.002290456
06/01/2000 22:58:30,0,0,0.002229724
06/01/2000 22:58:45,0,0,0.002085923
06/01/2000 22:59:00,0,0,0.002145345
06/01/2000 22:59:15,0,0,0.002113868
06/01/2000 22:59:30,0,0,0.002130045
06/01/2000 22:59:45,0,0,0.002116319
06/01/2000 23:00:00,0,0,0.001960064
06/01/2000 23:00:15,0,0,0.002130336
06/01/2000 23:00:30,0,0,0.002267595
06/01/2000 23:00:45,0,0,0.00219146
06/01/2000 23:01:00,0,0,0.002061611
06/01/2000 23:01:15,0,0,0.002092088
06/01/2000 23:01:30,0,0,0.00196334
06/01/2000 23:01:45,0,0,0.001983522
06/01/2000 23:02:00,0,0,0.002027916
06/01/2000 23:02:15,0,0,0.00206459
06/01/2000 23:02:30,0,0,0.002038081
06/01/2000 23:02:45,0,0,0.001910909
06/01/2000 23:03:00,0,0,0.00199668
06/01/2000 23:03:15,0,0,0.002062368
06/01/2000 23:03:30,0,0,0.002013566
06/01/2000 23:03:45,0,0,0.00199669
06/01/2000 23:04:00,0,0,0.002010172
06/01/2000 23:04:15,0,0,0.001961842
06/01/2000 23:04:30,0,0,0.001964329
06/01/2000 23:04:45,0,0,0.001931285
06/01/2000 23:05:00,0,0,0.001876638
06/01/2000 23:05:15,0,0,0.001919005
06/01/2000 23:05:30,0,0,0.002098862
06/01/2000 23:05:45,0,0,0.002029944
06/01/2000 23:06:00,0,0,0.002018818
06/01/2000 23:06:15,0,0,0.002022414
06/01/2000 23:06:30,0,0,0.002036907
06/01/2000 23:06:45,0,0,0.001876516
06/01/2000 23:07:00,0,0,0.001989262
06/01/2000 23:07:15,0,0,0.001891973
06/01/2000 23:07:30,0,0,0.002946493
06/01/2000 23:07:45,2,0,0.004522134
06/01/2000 23:08:00,0,0,0.001397079
06/01/2000 23:08:15,0,0,0.001389963
06/01/2000 23:08:30,0,0,0.001389454
06/01/2000 23:08:45,0,0,0.001384602
06/01/2000 23:09:00,0,0,0.001365198
06/01/2000 23:09:15,0,0,0.001461331
06/01/2000 23:09:30,0,0,0.00133269
06/01/2000 23:09:45,0,0,0.001352334
06/01/2000 23:10:00,0,0,0.00121851
06/01/2000 23:10:15,0,0,0.001322764
06/01/2000 23:10:30,0,0,0.001334111
06/01/2000 23:10:45,0,0,0.001347533
06/01/2000 23:11:00,0,0,0.001314118
06/01/2000 23:11:15,0,0,0.00126678
06/01/2000 23:11:30,0,0,0.001307293
06/01/2000 23:11:45,0,0,0.001327807
06/01/2000 23:12:00,0,0,0.00133258
06/01/2000 23:12:15,0,0,0.001391844
06/01/2000 23:12:30,0,0,0.001348132
06/01/2000 23:12:45,0,0,0.001401534
06/01/2000 23:13:00,0,0,0.001364524
06/01/2000 23:13:15,0,0,0.001355453
06/01/2000 23:13:30,0,0,0.001467695
06/01/2000 23:13:45,0,0,0.001400376
06/01/2000 23:14:00,0,0,0.001377035
06/01/2000 23:14:15,0,0,0.001422307
06/01/2000 23:14:30,0,0,0.00138437
06/01/2000 23:14:45,0,0,0.001366364
06/01/2000 23:15:00,0,0,0.001325557
06/01/2000 23:15:15,0,0,0.001429115
06/01/2000 23:15:30,0,0,0.001361493
06/01/2000 23:15:45,0,0,0.001488023
06/01/2000 23:16:00,0,0,0.001515059
06/01/2000 23:16:15,0,0,0.001482256
06/01/2000 23:16:30,0,0,0.001402062
06/01/2000 23:16:45,0,0,0.002347149
06/01/2000 23:17:00,0,0,0.001946784
06/01/2000 23:17:15,0,0,0.001369051
06/01/2000 23:17:30,0,0,0.001413902
06/01/2000 23:17:45,0,0,0.001463588
06/01/2000 23:18:00,0,0,0.001557485
06/01/2000 23:18:15,0,0,0.001595462
06/01/2000 23:18:30,0,0,0.001519811
06/01/2000 23:18:45,0,0,0.001442133
06/01/2000 23:19:00,0,0,0.001416799
06/01/2000 23:19:15,0,0,0.001473565
06/01/2000 23:19:30,0,0,0.001473364
06/01/2000 23:19:45,0,0,0.001546213
06/01/2000 23:20:00,0,0,0.001427252
06/01/2000 23:20:15,0,0,0.001720467
06/01/2000 23:20:30,0,0,0.002123536
06/01/2000 23:20:45,0,0,0.001339967
06/01/2000 23:21:00,0,0,0.001357089
06/01/2000 23:21:15,0,0,0.001439095
06/01/2000 23:21:30,0,0,0.001445444
06/01/2000 23:21:45,0,0,0.001417818
06/01/2000 23:22:00,0,0,0.001376794
06/01/2000 23:22:15,0,0,0.001345708
06/01/2000 23:22:30,0,0,0.001271419
06/01/2000 23:22:45,0,0,0.001289497
06/01/2000 23:23:00,0,0,0.001276219
06/01/2000 23:23:15,0,0,0.001254742
06/01/2000 23:23:30,0,0,0.001268928
06/01/2000 23:23:45,0,0,0.001226673
06/01/2000 23:24:00,0,0,0.001303817
06/01/2000 23:24:15,0,0,0.001215731
06/01/2000 23:24:30,0,0,0.001222113
06/01/2000 23:24:45,0,0,0.001214834
06/01/2000 23:25:00,0,0,0.00125822
06/01/2000 23:25:15,5,0,0.003644251
06/01/2000 23:25:30,0,0,0.00113666
06/01/2000 23:25:45,0,0,0.001074411
06/01/2000 23:26:00,0,0,0.001152018
06/01/2000 23:26:15,0,0,0.001145453
06/01/2000 23:26:30,0,0,0.001166809
06/01/2000 23:26:45,0,0,0.001165551
06/01/2000 23:27:00,0,0,0.001216368
06/01/2000 23:27:15,0,0,0.001146228
06/01/2000 23:27:30,0,0,0.001165181
06/01/2000 23:27:45,0,0,0.001150411
06/01/2000 23:28:00,0,0,0.001127086
06/01/2000 23:28:15,0,0,0.00135006
06/01/2000 23:28:30,0,0,0.001073615
06/01/2000 23:28:45,0,0,0.001130063
06/01/2000 23:29:00,0,0,0.005096076
06/01/2000 23:29:15,0,0,0.0012806
06/01/2000 23:29:30,0,0,0.001274532
06/01/2000 23:29:45,0,0,0.001245657
06/01/2000 23:30:00,0,0,0.001294205
06/01/2000 23:30:15,0,0,0.002626983
06/01/2000 23:30:30,0,0,0.002219577
06/01/2000 23:30:45,0,0,0.00181307
06/01/2000 23:31:00,0,0,0.002057201
06/01/2000 23:31:15,0,0,0.001816083
06/01/2000 23:31:30,0,0,0.001674768
06/01/2000 23:31:45,0,0,0.001730696
06/01/2000 23:32:00,0,0,0.001757365
06/01/2000 23:32:15,44,1,0.026573439
06/01/2000 23:32:30,0,0,0.001396828
06/01/2000 23:32:45,0,0,0.001337169
06/01/2000 23:33:00,0,0,0.001273124
06/01/2000 23:33:15,0,0,0.001270218
